employee_id,first_name,last_name,province,city,date_of_joining,email,phone_number
21721501,Diana,Johnson,Manitoba,Thompson,2019-02-03,wilsonrodney@torres.com,(154)839-8424
15937136,Sharon,Tucker,Ontario,Hamilton,2018-11-14,xaguilar@yahoo.com,001-869-153-4451x464
37961635,Jonathan,Perry,Quebec,Montreal,2016-02-29,dianeboyd@yahoo.com,410.980.8696
25607022,Kimberly,Williams,New Brunswick,Bathurst,2015-12-29,louis71@cameron-ramos.com,401-458-9324x909
69323868,Karen,Morrow,Nova Scotia,Glace Bay,2017-06-25,oneillcheryl@duncan.com,259.467.3826
00224555,Timothy,Oliver,British Columbia,Surrey,2023-07-17,gallowaymatthew@hotmail.com,597-978-1205
86497726,Joe,Lee,Nova Scotia,Halifax,2017-05-07,hannahhale@bowers-waters.com,001-830-519-7187x000
99111859,Jacqueline,Bowman,British Columbia,Burnaby,2022-11-22,lgriffin@yahoo.com,(364)257-4820x801
92971647,Courtney,King,British Columbia,Burnaby,2018-05-15,beckerwilliam@hotmail.com,9217117602
56959898,Brian,Stone,Nova Scotia,Halifax,2021-09-06,goodmichael@yahoo.com,+1-005-166-7998
29654812,Anthony,Gill,Newfoundland and Labrador,Corner Brook,2022-03-10,igutierrez@gmail.com,265.207.5501x185
40590248,Kaitlyn,Hampton,Manitoba,Winnipeg,2019-02-18,aaronbarnes@gmail.com,008-465-0937
12630834,Peter,Buchanan,British Columbia,Vancouver,2023-12-23,danielbrown@yahoo.com,(134)807-0817x74516
93212814,Rhonda,Kelly,Nova Scotia,New Glasgow,2017-10-13,bortega@daniels-mitchell.com,085-113-6790
18567524,Amanda,Smith,Nova Scotia,New Glasgow,2016-08-07,ecross@hotmail.com,(057)215-8859
54449352,Anthony,Hoover,Newfoundland and Labrador,Mount Pearl,2020-12-19,antonio32@yahoo.com,(381)862-0399
16960908,Jeffrey,Ayers,Quebec,Longueuil,2023-04-25,chuffman@hotmail.com,396.124.1558
48941955,Darren,Alvarez,Manitoba,Portage la Prairie,2015-10-05,lmelton@lopez.com,106-498-1311x471
96118553,Matthew,Nelson,Quebec,Montreal,2018-02-25,jenkinsjoshua@hotmail.com,(164)378-4637x2362
18327077,Kristin,Cooke,Nova Scotia,Truro,2020-03-03,amberwilliams@morgan.com,(647)855-1627
43476893,Wendy,Bishop,Prince Edward Island,Cornwall,2023-10-16,timothyvaldez@hotmail.com,222-520-0975
34915862,Melanie,Rodriguez,Saskatchewan,Regina,2015-10-06,crogers@hotmail.com,925.558.0797
66756664,David,Blackburn,New Brunswick,Moncton,2024-03-17,christopherstephens@parrish.net,576-400-3201x8708
04155355,Noah,Riley,Quebec,Quebec City,2018-03-10,martin54@hotmail.com,403-198-3986
94328228,Jerome,Green,Newfoundland and Labrador,St. John's,2023-03-23,thomaskevin@hotmail.com,(376)572-5610
07564138,Anna,Johnson,Quebec,Quebec City,2014-12-01,baileysheryl@richard.biz,674.714.3233x564
72763758,Ralph,Green,Prince Edward Island,Charlottetown,2018-11-16,millermichelle@jackson-harris.com,159.248.0303x52098
84089819,Cynthia,Sampson,Prince Edward Island,Cornwall,2017-01-29,darlene58@haley.com,950-418-0156x0299
34678719,Sharon,Hall,British Columbia,Richmond,2016-12-01,nicole70@olson.org,417-889-1800x1248
93114468,Ashley,Beard,Manitoba,Thompson,2018-12-01,ericlopez@phillips-taylor.org,001-220-626-4597x32170
41256553,David,Hart,Manitoba,Brandon,2016-06-21,mmcguire@gmail.com,568-403-6135x23580
11663420,Stanley,Davis,Prince Edward Island,Stratford,2017-01-01,piercewilliam@yahoo.com,229-950-3603x948
43620436,Dillon,Wright,Saskatchewan,Prince Albert,2021-12-24,derekwhite@yahoo.com,7769379507
22659722,Hannah,Finley,Manitoba,Thompson,2017-01-26,xterrell@grant.com,(591)836-4995x179
10515040,Alexis,Russell,Saskatchewan,Moose Jaw,2015-11-23,migueljohns@yahoo.com,001-968-792-4514x73562
22610210,Amy,Hawkins,Quebec,Quebec City,2023-09-06,jordan36@gmail.com,8716290881
71718854,Angela,Diaz,Manitoba,Winnipeg,2018-04-27,jennifergriffin@hotmail.com,+1-955-749-1577x799
32273371,Jon,Wright,Nova Scotia,Sydney,2023-06-02,nicole85@fleming-brown.org,+1-361-402-0699x2128
93740852,Luis,Lester,Nova Scotia,Truro,2018-12-19,glenda70@hotmail.com,(638)356-9182
80126514,Michael,Malone,Quebec,Quebec City,2022-06-26,wwebb@armstrong-murray.info,+1-375-735-6977x038
44550019,Jodi,Diaz,Quebec,Gatineau,2019-09-26,stevestanton@gmail.com,131-040-6955x76768
21939331,Gregory,Martinez,Prince Edward Island,Stratford,2014-07-25,meredith55@gmail.com,(683)271-8783x8234
87219637,Valerie,Tyler,Newfoundland and Labrador,Grand Falls-Windsor,2015-08-22,vaughanbrian@yahoo.com,529.565.7740
11719241,Mckenzie,Mccoy,Manitoba,Thompson,2021-05-30,wweaver@yahoo.com,291.392.2538x02202
27076527,Christopher,James,British Columbia,Surrey,2016-08-23,kmartinez@gmail.com,001-643-118-9243x149
65355010,Samuel,Christian,Quebec,Quebec City,2021-11-28,jacobsellers@johnson-green.net,(959)826-8901
45287607,Andrew,Chen,New Brunswick,Saint John,2023-06-29,omoody@anderson.com,+1-408-464-7715x6830
81908951,Robert,Webster,Alberta,Edmonton,2015-10-07,michaeldavid@lynch-king.info,(232)799-1309
00364123,Ashley,Williams,Alberta,Calgary,2023-11-11,lisa49@collins-sanchez.com,207-578-4042
14198327,Edward,Adams,New Brunswick,Bathurst,2017-10-22,wrightcynthia@pena.com,(216)946-0221x2667
46667636,Paul,Kelly,Nova Scotia,Truro,2023-08-30,mgutierrez@hotmail.com,701.674.3599x42376
08754054,Cory,Harris,British Columbia,Richmond,2014-12-28,christopherhunter@burgess.biz,(548)796-0134
95225746,Kelly,Miller,British Columbia,Victoria,2023-01-23,timothy13@dixon-oliver.com,001-689-427-5515x4755
44522271,Emily,Marshall,Prince Edward Island,Cornwall,2019-04-14,ericapadilla@patterson.com,+1-353-528-1210x43553
01968335,Brittany,Johnson,Newfoundland and Labrador,Corner Brook,2023-05-25,jessica37@turner.com,+1-716-747-9239
47715609,Laurie,Ibarra,Nova Scotia,Sydney,2023-07-24,sarahjones@king.com,001-461-318-2992x49842
74317381,William,Stevens,Ontario,Ottawa,2018-06-06,charles52@berry.com,001.340.6400x42863
35263505,Blake,Long,Alberta,Red Deer,2014-09-11,jerryperez@larson.org,441-568-1161
44538603,Marc,Melendez,New Brunswick,Saint John,2023-04-25,egarcia@hotmail.com,9807383705
24766887,Deborah,Welch,Ontario,Hamilton,2020-09-28,jesse50@hotmail.com,589.328.6857x837
39810062,Thomas,Henderson,Prince Edward Island,Charlottetown,2015-12-06,wjohnson@hotmail.com,9758470320
93358269,Michael,Jackson,British Columbia,Surrey,2015-02-12,jimmyroth@taylor.com,918.751.7212x609
56779955,Maria,Pena,Quebec,Quebec City,2015-05-10,tiffany56@landry.com,647.594.0626x3064
40115223,Robert,Gutierrez,New Brunswick,Saint John,2018-03-08,robinsondaniel@medina.org,120-177-6268x58884
53779490,Jaime,Burke,Manitoba,Portage la Prairie,2022-10-19,danhenry@sanchez.com,+1-879-072-0283x2072
26541813,Michael,Rodriguez,Ontario,Ottawa,2015-06-24,deborah54@hotmail.com,133.576.2841
25102653,Michael,Fox,Ontario,Mississauga,2024-01-30,bstone@wilkins.com,852.962.0998x86575
61710820,Marcus,Cordova,Saskatchewan,Saskatoon,2016-08-01,johnsonricardo@yahoo.com,6514812507
82808935,Jill,West,Quebec,Quebec City,2024-06-21,allengreene@yahoo.com,+1-379-810-6745x6575
22372856,Keith,Hill,Manitoba,Thompson,2018-03-04,patricia14@robbins.biz,503.107.3217x2796
